team_id,team_title,team_country_id,team_country_name,team_noc,result_id,position,total_time,start_num,prog_id,event_id,event_title,team_order,athlete_id,athlete_title,athlete_gender
126794,Team I Denmark,153,Denmark,DEN,1063411,7,01:29:22,12,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,1,58566,Emil Holm,male
126794,Team I Denmark,153,Denmark,DEN,1063411,7,01:29:22,12,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,2,82017,Alberte Kjær Pedersen,female
126794,Team I Denmark,153,Denmark,DEN,1063411,7,01:29:22,12,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,3,106438,Oscar Gladney Rundqvist,male
126794,Team I Denmark,153,Denmark,DEN,1063411,7,01:29:22,12,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,4,94555,Anne Holm,female
126798,Team I Portugal,247,Portugal,POR,1063412,8,01:29:32,14,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,1,98121,Ricardo Batista,male
126798,Team I Portugal,247,Portugal,POR,1063412,8,01:29:32,14,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,2,47942,Melanie Santos,female
126798,Team I Portugal,247,Portugal,POR,1063412,8,01:29:32,14,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,3,10539,Joao Silva,male
126798,Team I Portugal,247,Portugal,POR,1063412,8,01:29:32,14,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,4,112738,Maria Tomé,female
126801,Team I Italy,190,Italy,ITA,1063413,9,01:29:34,2,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,1,106578,Nicolò Strada,male
126801,Team I Italy,190,Italy,ITA,1063413,9,01:29:34,2,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,2,106581,Bianca Seregni,female
126801,Team I Italy,190,Italy,ITA,1063413,9,01:29:34,2,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,3,71738,Gianluca Pozzatti,male
126801,Team I Italy,190,Italy,ITA,1063413,9,01:29:34,2,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,4,96506,Carlotta Missaglia,female
126778,Team I Australia,111,Australia,AUS,1063414,10,01:29:37,5,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,1,92397,Brandon Copeland,male
126778,Team I Australia,111,Australia,AUS,1063414,10,01:29:37,5,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,2,45907,Natalie Van Coevorden,female
126778,Team I Australia,111,Australia,AUS,1063414,10,01:29:37,5,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,3,45915,Jacob Birtwhistle,male
126778,Team I Australia,111,Australia,AUS,1063414,10,01:29:37,5,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,4,54913,Jaz Hedgeland,female
126780,Team I Spain,270,Spain,ESP,1063415,11,01:29:59,10,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,1,63428,Antonio Serrat Seoane,male
126780,Team I Spain,270,Spain,ESP,1063415,11,01:29:59,10,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,2,31827,Anna Godoy Contreras,female
126780,Team I Spain,270,Spain,ESP,1063415,11,01:29:59,10,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,3,63429,Roberto Sanchez Mantecon,male
126780,Team I Spain,270,Spain,ESP,1063415,11,01:29:59,10,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,4,75945,Sara Perez Sala,female
