Rank,Name,Gender,YOB,Country,IOQR,MOQR,2022 World Triathlon Championship Series Hamburg,2022 World Triathlon Championship Series Leeds,2022 World Triathlon Sprint and Relay Championships Montreal,2023 Americas Triathlon Cup and South American Championships Lima,2023 World Triathlon Championship Series Sunderland,2023 World Triathlon Mixed Relay Series Paris,2023 World Triathlon Sprint and Relay Championships Hamburg,2024 World Triathlon Mixed Relay Olympic Qualification Event Huatulco
5,Georgia Taylor-Brown,Women,1994,GBR,6750.18,1850,,925,925,,,,,
6,Lisa Tertsch,Women,1998,GER,6390.18,1855.625,855.625,,,,,1000,,
7,Taylor Knibb,Women,1998,USA,6249.14,535.9618307,,,,,,535.9618307,,
8,Sophie Coldwell,Women,1995,GBR,6014.23,0,,,,,,,,
9,Jeanne Lehair,Women,1996,LUX,5797.14,581.5080765,,,,,,245.7826313,335.7254452,
10,Laura Lindemann,Women,1996,GER,5757.73,3855.625,855.625,1000,,,,1000,1000,
11,Nina Eim,Women,1998,GER,5570.586,0,,,,,,,,
12,Kate Waugh,Women,1999,GBR,5497.79,1925,1000,,,,,925,,
13,Julie Derron,Women,1996,SUI,5110.34,2324.265205,791.453125,0,,,677.1870801,,855.625,
14,Leonie Periault,Women,1994,FRA,4841.22,0,,,,,,,,
15,Kirsten Kasper,Women,1991,USA,4756.58,0,,,,,,,,
16,Rosa Maria Tapia Vidal,Women,1997,MEX,4739.088,0,0,,,,,0,,
17,Miriam Casillas García,Women,1992,ESP,4731.106,1227.858834,,,,,732.0941406,,495.7646934,
18,Flora Duffy,Women,1987,BER,4675.62,0,,,,,,,,
19,Summer Rappaport,Women,1991,USA,4637.97,1647.078125,,,855.625,,,,791.453125,
20,Bianca Seregni,Women,2000,ITA,4440.09,535.9618307,,,535.9618307,,,,,
21,Yuko Takahashi,Women,1991,JPN,4439.78,1540.165743,579.4181954,362.9464272,,,287.255084,310.5460368,0,
22,Verena Steinhauser,Women,1994,ITA,4437.08,2289.53845,335.7254452,791.453125,,,,626.3980491,535.9618307,
23,Marlene Gomez-Göggel,Women,1993,GER,4274.55,535.9618307,,,,,535.9618307,,,
24,Rachel Klamer,Women,1990,NED,4271.73,3124.275532,0,495.7646934,362.9464272,,424.1886658,677.1870801,424.1886658,740
25,Lena Meißner,Women,1998,GER,4259.27,0,,,,,,,,
26,Ilaria Zane,Women,1992,ITA,3753.74,2026.086828,335.7254452,791.453125,,,362.9464272,,535.9618307,
27,Maya Kingma,Women,1995,NED,3746.7,495.7646934,0,495.7646934,,,,,,
28,Jolien Vermeylen,Women,1994,BEL,3730.6335,2011.907806,424.1886658,732.0941406,,,0,855.625,,
29,Vittoria Lopes,Women,1996,BRA,3671.42,1825.13563,362.9464272,,0,,458.5823414,424.1886658,579.4181954,
30,Djenyfer Arnold,Women,1993,BRA,3612.38,1825.13563,362.9464272,,0,,458.5823414,424.1886658,579.4181954,
31,Alberte Kjær Pedersen,Women,1998,DEN,3581.79,2156.170794,535.9618307,392.3745159,626.3980491,,,335.7254452,265.7109527,
32,Annika Koch,Women,1999,GER,3495.07,1000,,,,,,,1000,
33,Ainsley Thorpe,Women,1998,NZL,3440.9055,2507.90625,,,791.453125,,791.453125,,925,
34,Claire Michel,Women,1988,BEL,3432.41,1314.207341,,,,,0,855.625,458.5823414,
35,Natalie Van Coevorden,Women,1992,AUS,3383.44,2460.898201,925,,495.7646934,,,362.9464272,677.1870801,
36,Noelia Juan,Women,1996,ESP,3334.32,1190.676482,458.5823414,,,,732.0941406,,,
37,Cathia Schär,Women,2001,SUI,3301.3735,3001.452285,791.453125,,677.1870801,,677.1870801,,855.625,
38,Erika Ackerlund,Women,1996,USA,3300.34,928.3363466,392.3745159,535.9618307,,,,,,
39,Katie Zaferes,Women,1989,USA,3216.06,0,,,,,,,,
40,Gwen Jorgensen,Women,1986,USA,3156.04,579.4181954,,,,,579.4181954,,,
41,Lizeth Rueda Santos,Women,1994,MEX,3151.22,930.2694866,0,0,392.3745159,,310.5460368,0,227.3489339,
42,Emy Legault,Women,1996,CAN,3087.269,1019.349225,0,,732.0941406,,,,287.255084,
43,Anna Godoy Contreras,Women,1992,ESP,3056.55,1412.929376,,,458.5823414,,,458.5823414,495.7646934,
44,Alice Betto,Women,1987,ITA,3010.72,989.3444763,,,,,362.9464272,626.3980491,,
45,Xinyu Lin,Women,2002,CHN,2966.746,0,,,,,,,,
46,Zsanett Kuttor-Bragmayer,Women,1994,HUN,2958.08,3168.96411,677.1870801,,,,495.7646934,579.4181954,732.0941406,684.5
47,Tilda Månsson,Women,2004,SWE,2948.8,0,,,,,,,,
48,Nicole Van Der Kaay,Women,1996,NZL,2941.62,2840.921782,732.0941406,,791.453125,,,392.3745159,925,
49,Jaz Hedgeland,Women,1995,AUS,2926.573,1535.898201,,,495.7646934,,,362.9464272,677.1870801,
50,Maria Carolina Velasquez Soto,Women,1997,COL,2918.016,0,,,,,,,,
51,Julia Hauser,Women,1994,AUT,2842.81,1118.713028,,0,,,,287.255084,245.7826313,585.6753125
52,Elizabeth Bravo,Women,1987,ECU,2778.031,500,,,,500,,,,0
53,Solveig Løvseth,Women,1999,NOR,2658.35,3828.374457,,626.3980491,424.1886658,,855.625,495.7646934,626.3980491,800
54,Gina Sereno,Women,1995,USA,2645.79,579.4181954,,,,,579.4181954,,,
55,Lisa Perterer,Women,1991,AUT,2583.9,831.4579438,,,,,,,245.7826313,585.6753125
56,Olivia Mathias,Women,1998,GBR,2446.54,0,,,,,,,,
57,Anabel Knoll,Women,1996,GER,2431.8,1535.961831,,1000,,,535.9618307,,,
58,Petra Kurikova,Women,1991,CZE,2416,954.3470348,495.7646934,458.5823414,,,,,,
59,Valerie Barthelemy,Women,1991,BEL,2357.61,1190.676482,,732.0941406,0,,,,458.5823414,
60,Erica Hawley,Women,1998,BER,2353.68,0,,,,,,,,
61,Luisa Baptista,Women,1994,BRA,2287.85,0,,,,,,,,
62,Melanie Santos,Women,1995,POR,2231.94,2909.703096,0,579.4181954,579.4181954,,626.3980491,732.0941406,392.3745159,
63,Sophie Linn,Women,1995,AUS,2204.34,1602.18708,925,677.1870801,,,,,,
64,Roksana Slupek,Women,1999,POL,2179,0,,,,,,,,
65,Dominika Jamnicky,Women,1992,CAN,2175.4985,1019.349225,0,,732.0941406,,,0,287.255084,
66,Zuzana Michalickova,Women,2002,SVK,2145.37,0,,,,,,,,
67,Tereza Zimovjanova,Women,1995,CZE,2096.12,458.5823414,,458.5823414,,,,,,
68,Audrey Merle,Women,1995,FRA,2088.816,855.625,,855.625,,,,,,
69,Mathilde Gautier,Women,1995,FRA,2017.19,626.3980491,626.3980491,,,,,,,
70,Sian Rainsley,Women,1997,GBR,2008.08,1000,1000,,,,,,,
71,Sinem Francisca Tous Servera,Women,1992,TUR,1997.41,0,,,,,,,,
72,Sandra Dodet,Women,1996,FRA,1970.81,855.625,,855.625,,,,,,
73,Marta Pintanel Raymundo,Women,1999,ESP,1962.78,917.1646828,458.5823414,,,,,458.5823414,,
74,Paulina Klimas,Women,1995,POL,1956.03,0,,,,,,,,
75,Charlotte McShane,Women,1990,AUS,1915.953,677.1870801,,677.1870801,,,0,,,
76,Selina Klamt,Women,2001,GER,1868.637,0,,,,,,,,
77,Shanae Williams,Women,1998,RSA,1832.095,911.9824347,,,,,335.7254452,265.7109527,310.5460368,
78,Yuka Sato,Women,1992,JPN,1821.439,0,,,0,,,,,
79,Cecilia Santamaria Surroca,Women,1997,ESP,1767.74,0,,,,,,,,
